,sr,irstp,miu_period,Utility 2055,Utility 2105,Utility 2155,Utility 2205,Utility 2305,Total Aggregated Utility
0,0.2175765785700921,0.0062,14,3007.016021202579,2528.5864968055757,1473.947060719854,757.0883096973649,193.8628898061369,2256.5350198132182
1,0.2374618745622788,0.0062,11,2999.9842558692894,2528.837232390405,1479.0046407666034,759.3732685576932,194.26602159330508,2255.533990330541
2,0.2441252616236735,0.0062,6,2981.936360120129,2529.795563028604,1483.3142046624173,761.0082466661938,194.5605270464205,2251.547304238184
3,0.11792855243157435,0.0062,30,3024.010398981307,2498.7048730070683,1434.4434864856644,738.5302802041168,189.72638526913076,2242.772844154905
4,0.2568323840170421,0.0062,5,2965.978103044149,2531.125534398375,1485.0396678787429,761.705729672306,194.68664049874997,2248.515387777325
5,0.2388706133520485,0.0062,5,2971.0958556105584,2531.1220057868354,1483.3658342998929,761.0012822103464,194.5625418873928,2249.964983670672
6,0.22280446269303655,0.0062,15,3006.1659538352174,2529.088865139409,1474.3086265810364,756.7837025796083,193.79835725,2256.2868065983216
7,0.2660396352740808,0.0062,6,2975.4535603954578,2529.2957804311122,1485.003170968194,761.7290522162738,194.68729022181748,2249.4634990406907
8,0.2288654994650341,0.0062,5,2973.7181235456787,2530.677837166005,1482.1048497723766,760.4795472869721,194.47050523729786,2250.485707103695
9,0.1969566161241312,0.0062,16,3012.194590554747,2526.055538857741,1469.2172050434694,754.3938794207579,193.3559729818803,2256.248976509709
10,0.28116240742272963,0.0062,6,2970.529982771966,2528.1215718388557,1485.5909791007684,762.0003386333078,194.73471359343083,2247.4989011117714
11,0.18747780606152933,0.0062,16,3014.010567889689,2524.322000990685,1466.9273661577233,753.4744416366403,193.2090585680779,2255.854418997736
12,0.1753022965053848,0.0062,21,3017.0084345696328,2521.365861292705,1462.1384633736482,750.4280504653498,192.3519655078344,2254.471701320679
13,0.2165748195003884,0.0062,12,3006.0801238443223,2528.048173214645,1475.3179197585594,757.8569383063291,194.0002072524461,2256.513317700002
14,0.1494505498747797,0.0062,26,3021.0211880459137,2513.103278927463,1451.7380130583858,745.7168607632417,191.20687159722138,2250.6246048643834
15,0.17925276968640674,0.0062,15,3015.1492338771836,2522.500118381172,1464.9507732039135,753.0623058908222,193.1468401906185,2255.368491848545
16,0.24974580633845905,0.0062,10,2995.368187809763,2528.134947067272,1481.0049371222879,760.185280007466,194.40855217705402,2254.364908668813
17,0.23861655473673335,0.0062,7,2990.1415805312786,2528.371627606752,1482.0656288007392,760.519933701146,194.47175135874602,2253.255806799654
18,0.11417724969413365,0.0062,25,3024.0058876456114,2496.946639922317,1432.7229027444546,738.2350204713207,190.00372616103292,2241.947471526402
19,0.173512313842186,0.0062,15,3016.0943520766386,2521.084269127283,1463.3581988430014,752.4932907788669,193.0515970039508,2254.9251677212824
20,0.19314183333935056,0.0062,23,3014.0183067069124,2525.0246859123904,1466.3658566684976,751.8070303217357,192.44491920285355,2255.3432513685466
21,0.13840048471752636,0.0062,23,3022.0207026919234,2508.952260245979,1447.2805379066608,744.2655046662065,191.17006693411744,2248.7576542220318
22,0.24506061471112384,0.0062,5,2969.3914459683065,2531.2363501601058,1484.0252796014481,761.2765159481338,194.6110596851967,2249.538408562786
23,0.21218518858711796,0.0062,17,3009.213795837524,2528.1222753929324,1471.8316516171592,755.144278808558,193.42785574842563,2256.269421809676
24,0.2330571876903046,0.0062,6,2984.914561594132,2529.482005085436,1482.0484136114126,760.4820037213286,194.46777428869626,2252.236810299187
25,0.2358407115286629,0.0062,5,2971.9073067649542,2531.021679943524,1483.009940913395,760.8535252190312,194.5364843336716,2250.144987794011
26,0.17223235296743478,0.0062,29,3018.0100477229344,2520.027193869317,1459.7159981140148,748.6024487217398,191.46519450482756,2253.4586472948145
27,0.15888994085962352,0.0062,18,3019.017803493172,2516.847159081003,1457.227698723815,749.0332807244365,192.3268830680675,2252.8513818713
28,0.2450704623389967,0.0062,10,2996.6895997597085,2528.151423741293,1480.5746347014347,760.0038819190668,194.3766805887321,2254.7452766068945
29,0.20504976591167512,0.0062,15,3010.2110964012395,2527.245075684971,1471.2276376542022,755.5947373681719,193.5932120934469,2256.4955307789114
30,0.2684747206263061,0.0062,5,2962.381872320407,2530.604980475275,1485.7513876563821,762.0159309988327,194.74114590839255,2247.2406303943144
31,0.1844726278246363,0.0062,18,3015.012944488492,2523.6578085213723,1465.4487183577978,752.318212392137,192.88392709023938,2255.4414483041933
32,0.2257788794772864,0.0062,13,3004.535552717449,2529.0681329913464,1476.053624723436,758.1299725129311,194.05042418082152,2256.3589607837453
33,0.2585494823126104,0.0062,12,2994.8924322475877,2529.1787909675877,1480.1411689013134,759.8644946464533,194.35335030786263,2253.9425028649607
34,0.25791862511885705,0.0062,8,2988.66580228504,2527.227708806022,1483.1367105573472,761.0098877333486,194.55570839792483,2252.578520129532
35,0.20352929844069084,0.0062,14,3010.1379447105146,2526.9565890965932,1471.48902174102,756.1643138850245,193.7044464389021,2256.6301233171052
36,0.2276563816716018,0.0062,12,3003.4055469222185,2528.900968335165,1477.01692171144,758.5548075418515,194.12316766845868,2256.1972921008787
37,0.2253812680502257,0.0062,14,3005.1405103331012,2529.1961169294595,1475.1420555768689,757.5771869499536,193.94894550022497,2256.3172204242755
38,0.16604548188461754,0.0062,18,3018.0115018982715,2519.0378738616228,1459.8199139781048,750.0702464594515,192.50805806521942,2253.7840962308524
39,0.19120193060354848,0.0062,15,3013.001580162999,2525.0172724681884,1468.149515559992,754.3518457728637,193.37423714181637,2256.111860710059
