,sr,irstp,miu_period,growth_factor_prio,prioritarian_discounting,Lowest income per capita 2055,Highest climate impact per capita 2055,Lowest income per capita 2105,Highest climate impact per capita 2105,Lowest income per capita 2155,Highest climate impact per capita 2155,Lowest income per capita 2205,Highest climate impact per capita 2205,Lowest income per capita 2305,Highest climate impact per capita 2305
0,0.15520743979881552,0.011211205554863104,8,1.0304086263209722,0,2.321420435321301,0.021890329446412112,6.743942251861231,0.038717980661504996,13.004507120865386,0.05418231766259636,20.999177160874176,0.06998165745104303,38.97149720767159,0.10256780618713139
1,0.25094762721843245,0.0028064919060710545,5,1.0328166277632966,1,2.270246949058,0.021711172759065225,6.889788267149264,0.03840738085718297,14.172482660247935,0.05606321845590604,23.01951101263584,0.07313736491459623,42.72547567403639,0.10815873509724559
2,0.2726414531391975,0.014409671916605336,5,1.0198799426416953,1,2.2605692193077114,0.02201175348263809,6.875030526088179,0.03955493435844269,14.243969665855161,0.05822467612874598,23.154179357073957,0.0760129558858047,42.97120600262663,0.11246347863969883
3,0.22708449246755597,0.0028050152816221988,5,1.0179509548355832,1,2.2800451255318768,0.021388836462786283,6.891047150864577,0.03719750317294214,14.030959714638533,0.053788004104836154,22.76563492495049,0.0701047602977769,42.259030100050126,0.10361566204195452
4,0.23770365761380002,0.0024102878590677593,7,1.0085112401119278,1,2.290089267670594,0.02268729715171804,6.859830590489162,0.04152831808761133,14.022948251347024,0.060153310079388386,22.766474641504164,0.07817891036710438,42.237307679110764,0.1151020130154371
5,0.17675616126297605,0.012455581625947775,7,1.0124408209183484,0,2.3121399458890766,0.021833812264559303,6.805650127486912,0.03823833295249206,13.404188386257616,0.05399241273085582,21.683794641574426,0.0699557845927451,40.24279079845857,0.10280694839020725
6,0.24994715496139283,0.006734418091209216,5,1.0212018325044974,0,2.270675724158888,0.021697486374268347,6.890163193858037,0.038355587964217945,14.167919078875517,0.0559657849397185,23.011172320334563,0.07300762691502231,42.71019619298454,0.10796445146108818
7,0.13484071651498652,0.0031504977953068026,7,1.0145480479446471,1,2.3236366479153587,0.021277922610307427,6.694070461768274,0.03615033705081732,12.611842562298222,0.04999897677229532,20.315626495461018,0.06457621333315577,37.713442333469125,0.09473866414272906
8,0.1043497712872438,0.002783819652907738,7,1.015535856918442,0,2.330010276809681,0.020888261958748003,6.567263476553252,0.03470179346679729,11.769972491464747,0.047119363562995516,18.863953756902603,0.0606514741779992,35.02514563579991,0.0888329926220211
9,0.16025943434511297,0.008508414056531393,8,1.0016008130686191,0,2.320014254627087,0.021958914576445544,6.756867685965543,0.038984468561317334,13.096989102559212,0.05468959935682569,21.158910026702568,0.07066380661016909,39.26662089691405,0.10358945521010975
10,0.15892042762984146,0.011645090261884015,6,1.0195710696029996,0,2.312338964331193,0.021138542629470555,6.781167586820626,0.035684021749583406,13.146831457573194,0.04999991862394486,21.232861695953282,0.06481646036596135,39.41807275643474,0.09538656214274854
11,0.26103909370548095,0.007439303105224693,7,1.0254021890202183,0,2.2800576653389077,0.023029350673088804,6.85138531876448,0.042884322493561264,14.130863437995178,0.06268656617924663,22.963348645783853,0.08154470336786128,42.59727174901305,0.12012572629387605
12,0.2873320888233006,0.007867990068287615,5,1.0034038971917776,0,2.2536084666923974,0.022219532579522756,6.858089684727055,0.04036003715566679,14.264123628954716,0.059745616208401575,23.19796523548007,0.07803390582323778,43.04969777617743,0.11548731771206554
13,0.18347772542628044,0.005691472507273548,7,1.0148367066979562,0,2.3100118572903683,0.021925236092661636,6.817522543938173,0.038585249951576896,13.500027155328455,0.05464635759908444,21.849944717476937,0.07083208091576917,40.549502232860405,0.10411901550587514
14,0.2586065261420613,0.0011344911868158456,5,1.0325813489565812,1,2.2669130445887298,0.021816454950324967,6.886013156392479,0.038807106317526735,14.20364035197247,0.05681546813815564,23.076996467316366,0.07413868013706192,42.8306670324147,0.10965801058177575
15,0.19999897878698,0.014605190150383241,5,1.0251437280336961,1,2.290059974323777,0.02103306588931968,6.871984295352853,0.03588429304747285,13.780262878350534,0.05131427149871785,22.32558180295173,0.06679874422778159,41.447724242290455,0.09865820870118151
16,0.19228318487810198,0.014604658878146486,8,1.0306351288242293,0,2.310071949219083,0.02240216480606758,6.8173708974918465,0.04072110056976079,13.573991554949671,0.05796378304664446,21.985341802450737,0.07504982078423898,40.79186772374238,0.11014995315891742
17,0.2705575307609196,0.014344863172755677,6,1.0209588336956381,1,2.2707603061694392,0.022670641707629453,6.860025178711272,0.041460088670626616,14.199562503030778,0.060867644933323785,23.081184138182472,0.0793294128030084,42.824073051968575,0.11711293540299875
18,0.28393400163035637,0.0038772123675183726,5,1.0203328952205373,1,2.2552474314882955,0.022171161359308317,6.862492026206431,0.04017170719833952,14.261398233889802,0.05938942027074015,23.191082699827103,0.07756077389920268,43.0375592162556,0.11477949712023053
19,0.22561024601804924,0.004155506361068637,5,1.008856871481513,1,2.2806208038235405,0.02136920009805092,6.890585497851966,0.03712444335016646,14.019888150288612,0.05365058966860061,22.746028506371218,0.06992137890287244,42.22293623968439,0.1033408183141365
20,0.2767604597147629,0.012790333179115055,5,1.0039289191953487,1,2.258650394768798,0.02206966110996205,6.870833116530378,0.039778309602519844,14.251839365038576,0.058646212749935644,23.170175966107752,0.07657326055377554,43.00011058617224,0.11330194817955194
21,0.19149856930831094,0.013858010642976114,8,1.0306090640655172,0,2.3103364584509123,0.022391125441450915,6.816310446734189,0.04067751238210729,13.564373134995723,0.05788208595239208,21.96860850589198,0.07494068117722845,40.76102177268435,0.1099868606347204
