Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
12129,1.0,12463.29949152099,0.0,2.0,1.0,4.0,1.0,1.0,611.0,12164,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
8461,1.0,9405.030920804533,0.0,1.0,0.0,3.0,2.0,1.0,601.0,8496,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
9675,2.0,7745.494096093479,1.0,0.0,0.0,0.0,2.0,2.0,248.0,9710,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
14944,1.0,7504.366039026368,0.0,0.0,1.0,2.0,1.0,1.0,140.0,14979,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13494,1.0,8138.854414783791,0.0,2.0,0.0,5.0,2.0,1.0,896.0,13529,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6377,0.0,9909.811698649975,0.0,2.0,1.0,0.0,1.0,0.0,933.0,6412,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13446,2.0,8473.07019405227,1.0,0.0,1.0,0.0,1.0,0.0,214.0,13481,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1581,1.0,5016.988613425694,0.0,0.0,0.0,2.0,1.0,1.0,980.0,1616,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7943,1.0,9431.809047778515,1.0,0.0,1.0,5.0,1.0,1.0,35.0,7978,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3538,0.0,13126.68587475896,1.0,2.0,0.0,1.0,1.0,2.0,176.0,3573,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7502,2.0,11416.96307095014,0.0,0.0,0.0,2.0,1.0,0.0,5.0,7537,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12769,0.0,10340.51004174054,0.0,2.0,0.0,1.0,0.0,0.0,46.0,12804,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6928,0.0,6465.7313927921805,1.0,1.0,1.0,1.0,0.0,0.0,593.0,6963,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
