Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
11857,1.0,6939.996772417084,0.0,2.0,1.0,1.0,0.0,2.0,843.0,11892,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,4
5642,1.0,6356.323975073305,0.0,2.0,1.0,3.0,1.0,0.0,373.0,5677,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13582,1.0,10608.830109881845,1.0,0.0,0.0,1.0,1.0,1.0,566.0,13617,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5225,0.0,9216.67541929313,1.0,0.0,1.0,0.0,0.0,1.0,219.0,5260,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
14355,1.0,4648.55159690357,0.0,2.0,0.0,0.0,1.0,0.0,273.0,14390,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10004,1.0,12178.278423723144,0.0,1.0,1.0,2.0,1.0,1.0,895.0,10039,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1096,2.0,8016.563474645432,1.0,1.0,0.0,5.0,2.0,2.0,940.0,1131,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10365,2.0,11439.829663626851,0.0,0.0,0.0,4.0,1.0,0.0,354.0,10400,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5206,0.0,11071.241181037749,0.0,0.0,1.0,5.0,2.0,1.0,577.0,5241,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
14478,0.0,12251.879949696657,0.0,0.0,1.0,2.0,0.0,2.0,943.0,14513,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
14385,0.0,6625.302538810997,1.0,1.0,1.0,3.0,1.0,1.0,243.0,14420,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10267,2.0,6972.598867832958,0.0,1.0,1.0,4.0,2.0,1.0,20.0,10302,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13077,0.0,7514.599775218514,1.0,1.0,1.0,0.0,0.0,0.0,232.0,13112,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
14174,1.0,13300.171933775538,0.0,2.0,1.0,2.0,1.0,1.0,757.0,14209,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
9163,1.0,8264.10069983256,0.0,1.0,0.0,2.0,0.0,2.0,218.0,9198,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
9725,1.0,13619.76354014199,1.0,1.0,0.0,0.0,1.0,2.0,896.0,9760,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5911,2.0,8554.780376551458,0.0,2.0,0.0,0.0,2.0,2.0,716.0,5946,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4919,2.0,6308.956639381084,0.0,2.0,0.0,1.0,1.0,1.0,637.0,4954,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3879,2.0,11108.085325473943,0.0,0.0,1.0,3.0,2.0,2.0,420.0,3914,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
486,2.0,6646.909562242913,1.0,1.0,1.0,5.0,0.0,2.0,124.0,521,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13813,1.0,11004.37540121337,0.0,0.0,0.0,4.0,0.0,1.0,967.0,13848,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6879,2.0,9765.665436592491,1.0,1.0,1.0,3.0,0.0,0.0,869.0,6914,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13953,1.0,10831.561409312792,1.0,1.0,0.0,3.0,2.0,0.0,854.0,13988,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12030,0.0,8582.24814215015,0.0,2.0,1.0,3.0,2.0,0.0,151.0,12065,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5590,0.0,7916.465997781192,0.0,0.0,1.0,4.0,0.0,0.0,723.0,5625,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
8664,0.0,7872.235957479173,1.0,2.0,0.0,5.0,0.0,1.0,412.0,8699,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3144,2.0,12061.937942663615,1.0,1.0,1.0,4.0,2.0,0.0,787.0,3179,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10018,2.0,7604.7167648859295,0.0,2.0,0.0,2.0,1.0,2.0,929.0,10053,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
9158,2.0,10239.482762944435,0.0,0.0,0.0,2.0,2.0,0.0,82.0,9193,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7235,1.0,12535.557009061684,1.0,2.0,1.0,5.0,1.0,2.0,597.0,7270,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,2
5036,0.0,7291.007578507922,1.0,1.0,1.0,2.0,0.0,1.0,442.0,5071,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4951,1.0,12467.663451273638,0.0,0.0,1.0,2.0,0.0,0.0,577.0,4986,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12420,0.0,11391.021408037232,1.0,2.0,1.0,1.0,2.0,2.0,416.0,12455,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
2060,0.0,12451.498148243354,0.0,1.0,0.0,4.0,2.0,2.0,358.0,2095,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7603,0.0,5621.188046034244,0.0,0.0,1.0,2.0,1.0,2.0,0.0,7638,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
2095,0.0,4257.661690317242,1.0,0.0,0.0,4.0,0.0,1.0,363.0,2130,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13422,0.0,12518.69096580492,0.0,1.0,1.0,2.0,0.0,1.0,504.0,13457,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12886,1.0,4506.482390553419,1.0,2.0,0.0,4.0,1.0,0.0,392.0,12921,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6952,1.0,9962.40448802096,1.0,0.0,0.0,5.0,0.0,2.0,414.0,6987,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
12644,1.0,7341.493021411612,1.0,1.0,1.0,1.0,0.0,0.0,135.0,12679,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
8656,1.0,10545.010960231535,0.0,2.0,0.0,1.0,0.0,1.0,579.0,8691,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13006,2.0,9814.982023334192,1.0,2.0,0.0,4.0,2.0,1.0,345.0,13041,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
