Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
12620,0.0,8293.550058997444,1.0,2.0,1.0,2.0,1.0,1.0,697.0,82620,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
6842,2.0,4607.255972073925,0.0,2.0,0.0,0.0,1.0,0.0,174.0,76842,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,4
11251,2.0,13076.065912434484,1.0,2.0,1.0,0.0,2.0,1.0,17.0,81251,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
6201,0.0,13064.005441936886,0.0,1.0,0.0,3.0,2.0,0.0,910.0,76201,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
11857,1.0,6939.996772417084,0.0,2.0,1.0,1.0,0.0,2.0,843.0,81857,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5642,1.0,6356.323975073305,0.0,2.0,1.0,3.0,1.0,0.0,373.0,75642,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
13582,1.0,10608.830109881845,1.0,0.0,0.0,1.0,1.0,1.0,566.0,83582,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5225,0.0,9216.67541929313,1.0,0.0,1.0,0.0,0.0,1.0,219.0,75225,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
14355,1.0,4648.55159690357,0.0,2.0,0.0,0.0,1.0,0.0,273.0,84355,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
10004,1.0,12178.278423723144,0.0,1.0,1.0,2.0,1.0,1.0,895.0,80004,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
1096,2.0,8016.563474645432,1.0,1.0,0.0,5.0,2.0,2.0,940.0,71096,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
