Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,Damages 2005,clusters
9939,1.0,11416.021711890586,0.0,0.0,0.0,3.0,1.0,1.0,538.0,79939,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
2570,1.0,4934.123579055792,1.0,2.0,0.0,1.0,2.0,2.0,957.0,72570,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
12807,1.0,7316.157999633484,1.0,2.0,1.0,3.0,0.0,0.0,540.0,82807,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
31394,0.0,13373.16725545495,1.0,2.0,0.0,2.0,1.0,0.0,363.0,101394,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
17506,2.0,11956.9693232681,1.0,0.0,1.0,3.0,1.0,2.0,900.0,87506,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
1613,1.0,12682.581562005924,1.0,1.0,0.0,3.0,1.0,1.0,402.0,71613,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
23918,2.0,11816.61636054118,0.0,0.0,1.0,1.0,2.0,0.0,259.0,93918,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
23336,0.0,8659.794816473008,0.0,1.0,1.0,3.0,0.0,1.0,653.0,93336,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
27434,0.0,11938.321647202323,0.0,0.0,1.0,0.0,1.0,0.0,720.0,97434,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,2
26499,0.0,12225.889462072304,0.0,2.0,0.0,1.0,0.0,1.0,659.0,96499,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
12544,1.0,7041.3731363471525,0.0,1.0,1.0,4.0,1.0,0.0,363.0,82544,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
24448,0.0,7467.162305202703,0.0,0.0,1.0,1.0,1.0,2.0,221.0,94448,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
22074,2.0,12187.476237391777,1.0,1.0,1.0,1.0,0.0,0.0,156.0,92074,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
4249,2.0,13127.047552654763,1.0,1.0,0.0,0.0,0.0,0.0,433.0,74249,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,2
28505,1.0,8026.48422183878,1.0,1.0,0.0,1.0,1.0,1.0,445.0,98505,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
6043,0.0,7064.085632151232,1.0,1.0,0.0,2.0,1.0,1.0,983.0,76043,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
