Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
79059,0.0,11424.16688135702,1.0,0.0,0.0,4.0,0.0,0.0,686.0,149059,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,3
84291,1.0,11006.73369634164,1.0,0.0,0.0,5.0,1.0,1.0,507.0,154291,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
75873,2.0,6321.707016301803,0.0,0.0,1.0,4.0,0.0,1.0,482.0,145873,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,3
73719,0.0,9264.790896465836,1.0,1.0,1.0,5.0,2.0,0.0,842.0,143719,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
82620,0.0,8293.550058997444,1.0,2.0,1.0,2.0,1.0,1.0,697.0,152620,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
76842,2.0,4607.255972073925,0.0,2.0,0.0,0.0,1.0,0.0,174.0,146842,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
81251,2.0,13076.065912434484,1.0,2.0,1.0,0.0,2.0,1.0,17.0,151251,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
76201,0.0,13064.005441936886,0.0,1.0,0.0,3.0,2.0,0.0,910.0,146201,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,2
81857,1.0,6939.996772417084,0.0,2.0,1.0,1.0,0.0,2.0,843.0,151857,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
75642,1.0,6356.323975073305,0.0,2.0,1.0,3.0,1.0,0.0,373.0,145642,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,2
83582,1.0,10608.830109881845,1.0,0.0,0.0,1.0,1.0,1.0,566.0,153582,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
75225,0.0,9216.67541929313,1.0,0.0,1.0,0.0,0.0,1.0,219.0,145225,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
84355,1.0,4648.55159690357,0.0,2.0,0.0,0.0,1.0,0.0,273.0,154355,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
80004,1.0,12178.278423723144,0.0,1.0,1.0,2.0,1.0,1.0,895.0,150004,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
71096,2.0,8016.563474645432,1.0,1.0,0.0,5.0,2.0,2.0,940.0,141096,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
80365,2.0,11439.829663626851,0.0,0.0,0.0,4.0,1.0,0.0,354.0,150365,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,3
75206,0.0,11071.241181037749,0.0,0.0,1.0,5.0,2.0,1.0,577.0,145206,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
84478,0.0,12251.879949696657,0.0,0.0,1.0,2.0,0.0,2.0,943.0,154478,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
84385,0.0,6625.302538810997,1.0,1.0,1.0,3.0,1.0,1.0,243.0,154385,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,2
80267,2.0,6972.598867832958,0.0,1.0,1.0,4.0,2.0,1.0,20.0,150267,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,3
