Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
49291,1.0,8277.545735239417,1.0,2.0,0.0,2.0,2.0,1.0,39.0,49291,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
40873,0.0,8028.580770286309,1.0,2.0,0.0,3.0,0.0,1.0,204.0,40873,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
38719,2.0,8973.359736921657,1.0,0.0,1.0,5.0,0.0,2.0,199.0,38719,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,3
47620,2.0,9909.892104445556,1.0,1.0,0.0,3.0,2.0,1.0,237.0,47620,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
41842,1.0,12652.996237284682,1.0,0.0,1.0,0.0,2.0,2.0,122.0,41842,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
46251,1.0,7626.533025802366,0.0,0.0,0.0,2.0,2.0,1.0,546.0,46251,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
41201,2.0,4840.232453834555,0.0,0.0,0.0,0.0,0.0,2.0,125.0,41201,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
46857,0.0,13334.86789401482,1.0,0.0,0.0,3.0,0.0,1.0,928.0,46857,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
40642,1.0,12376.156621596048,0.0,1.0,1.0,4.0,2.0,1.0,337.0,40642,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
48582,0.0,9042.244338025272,1.0,2.0,0.0,3.0,1.0,2.0,612.0,48582,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
40225,2.0,4024.969668445248,1.0,0.0,0.0,3.0,0.0,0.0,949.0,40225,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
49355,1.0,12983.795414535409,1.0,0.0,0.0,3.0,0.0,0.0,978.0,49355,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
45004,1.0,11372.813507587054,1.0,0.0,0.0,2.0,0.0,2.0,681.0,45004,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
36096,2.0,4692.694484021869,1.0,2.0,0.0,5.0,2.0,1.0,389.0,36096,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
