,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Total Aggregated Utility
0,0,868,0,9454.902060420713,3,1,1,2,0,1.2470826636405752,468.34721663128005,0.3266432849113434,1480.4925875438719,3713.0574615364208
1,2,133,2,11008.826106047369,4,1,1,1,1,0.855997422414245,448.41656952512875,1.491180124844394,676.8800301167952,3837.5762858211174
2,1,452,1,10258.951813207519,4,1,1,2,1,0.08793413324041421,896.8331390502575,2.94272129953148,1099.1150496390376,3811.7505500632633
3,1,114,1,12346.648725383122,3,1,1,1,0,1.0530128994404335,468.34721663128005,0.2915864586250696,1480.4925875438719,3706.732712521668
4,1,978,1,10893.330480250115,1,1,1,2,0,0.4021359984115429,336.4130577544048,53.597853600884804,501.6643832149487,4864.2577806034205
5,1,315,1,13172.66212061059,5,1,0,2,0,0.19467046620334294,330.1048035303076,54.23151356467265,487.5024262953946,6182.266064745396
6,1,506,1,9084.446471409918,1,1,0,2,0,0.37445682741354314,336.4130577544048,53.620383454403665,441.1024014749958,4876.154477976546
7,1,305,2,10725.359356719242,1,1,0,2,0,0.47638891639362035,336.4130577544048,53.600317132295025,923.0288117910679,4868.70659926926
8,1,322,1,11555.007067281129,3,1,1,1,1,0.035678647197562974,936.6944332625601,0.3952201368172079,1480.4925875438719,3644.096828713212
9,1,123,1,10299.197449723637,4,1,1,2,0,0.11411967789586686,896.8331390502575,0.7578342418764255,2009.847171736596,3819.82585845898
10,2,463,2,11803.335043280627,1,1,0,2,0,0.0,0.0,53.81680148615962,1631.5499379683872,4932.158578069395
11,1,305,2,11652.461545924525,3,1,0,1,0,0.08030434226330585,936.6944332625601,0.7513500074884789,1480.4925875438719,3648.4396709363355
12,0,794,1,8172.858343736669,3,1,1,2,1,1.2159256689542308,468.34721663128005,0.2773356722793794,1480.4925875438719,3685.5450613413477
13,0,923,0,10034.160433262887,4,1,1,2,1,1.1502085684475767,448.41656952512875,1.2079580232070921,676.8800301167952,3850.456404018619
14,1,777,2,12135.947788055388,3,1,0,0,0,0.9210125427548779,468.34721663128005,0.31402977078672567,1480.4925875438719,3640.864570739071
15,1,257,2,11073.772471720255,3,1,0,1,0,0.130387995566013,936.6944332625601,1.293320422218953,1895.3104670826424,3765.6898598907105
16,1,257,2,11593.814741523682,1,1,1,1,0,0.007017868791815651,336.4130577544048,3.204217072013285,344.0238222997682,4830.09586879317
17,1,719,1,11484.611575653198,1,1,1,2,0,0.3748922324240531,336.4130577544048,53.60323978750439,501.6643832149487,4866.286971748621
18,1,978,1,10746.072307236569,4,1,1,1,1,0.05113175425336891,896.8331390502575,1.4685011260787604,676.8800301167952,3804.536483091819
19,1,721,1,11205.711944975867,3,1,1,2,1,1.2248931493971456,468.34721663128005,0.23257888222124357,1480.4925875438719,3689.172954762333
20,1,719,1,11467.756467729918,2,1,1,2,0,0.8994510050794122,392.11377720333263,23.63596617320407,622.5058907699087,4906.0901554930115
21,1,923,1,12109.720464094915,3,1,1,2,1,0.07437317936627053,936.6944332625601,0.46539917361246985,1480.4925875438719,3648.218952048828
22,2,367,2,9000.576500144409,1,1,1,2,0,0.0,0.0,53.81758902660831,1518.287681097426,4926.479180748096
23,0,869,1,11647.914676650576,4,1,0,2,0,1.1218432418380653,448.41656952512875,1.2101669164739823,676.8800301167952,3891.7843241679548
24,1,305,2,9373.500152849716,1,1,1,2,0,0.48154244217255493,336.4130577544048,53.58211642121918,923.0288117910679,4858.446457433081
25,1,305,2,9987.048557437276,5,1,0,2,0,0.3410410730349204,330.1048035303076,54.20346926475638,1042.7390427182402,6170.808648618653
26,1,463,2,11055.647847855924,1,1,1,2,1,0.5625966398699727,336.4130577544048,53.56739276695801,501.6643832149487,4841.116268443762
27,1,719,1,9597.632901428906,5,1,0,2,0,0.23870481882836259,330.1048035303076,54.22307071864248,714.3703667830008,6178.743703299626
28,1,123,1,12386.76805083801,1,1,0,2,0,0.3917686669720719,336.4130577544048,53.61698280452405,501.6643832149487,4874.87178068218
29,1,405,2,8883.470731459214,4,1,1,0,1,0.8697933755696925,448.41656952512875,0.7798433692158315,676.8800301167952,3783.449420678461
30,1,540,1,6083.121172472422,3,1,1,0,1,0.9042836820072602,468.34721663128005,0.21302759828526674,1480.4925875438719,3640.6106507005456
31,2,463,2,11524.626043784443,5,1,0,1,0,0.0,0.0,54.36879937099689,1232.970131335179,6240.393595384573
32,1,601,2,10951.559511424835,3,1,1,1,1,1.064244834220781,468.34721663128005,0.25454467336209774,1480.4925875438719,3675.7409869244134
33,2,257,2,9729.929553171869,3,1,0,0,0,0.8599760658958611,468.34721663128005,0.6500334621339325,1480.4925875438719,3799.4643556796927
34,1,816,2,9232.524994579728,1,1,0,2,0,0.5649100962520246,336.4130577544048,53.58289489916454,923.0288117910679,4862.448549577879
35,1,719,1,11760.914517522806,3,1,1,1,0,0.06476576750312746,936.6944332625601,0.6435516626286599,1480.4925875438719,3644.8558614340413
