,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Lowest income per capita 2055,Highest climate impact per capita 2055,Lowest income per capita 2105,Highest climate impact per capita 2105
0,1,738,2,8095.9485672772325,2,1,1,2,1,0.8874340952136855,0.9251480478926436,0.01,432.6143518587857
1,1,927,2,13271.386579810174,1,1,1,2,0,1.142051951778598,1.174304654877026,0.01,2368.6395128136714
2,1,738,2,12799.283906979324,4,1,1,2,1,0.5512227484920063,0.8158933399335552,0.0472783189287016,34.81113714035932
