,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intertemporal utility GINI,Intertemporal impact GINI
0,2,894,1,12689.267002202723,5,1,1,2,0,0.2648536785290499,0.9166161389918379,0.17606852732891864,0.5444346802779636,0.7673427173038191,0.8992403105738072
1,2,316,1,8596.34420809775,4,1,0,0,1,0.37426639876285833,0.7296786102700863,0.3941735198183168,0.9166033058364197,0.7204305102269322,0.8384555637618455
2,2,257,2,12339.603279285702,1,1,1,2,0,0.27880847082505067,0.5841393647198216,0.3680023559164646,0.7929980594687318,0.7119291553821416,0.9027912353773805
3,2,403,1,9549.178255832918,5,2,1,0,1,0.26472605295619617,0.5903121648615757,0.17493131026506048,0.9166584115109214,0.7679513692000105,0.8518049898761816
4,2,506,1,12159.239194914926,5,1,1,1,1,0.2657632734167883,0.5707026818517426,0.225026181966344,0.6028575796241767,0.7501069326719576,0.9112715238149841
5,2,857,2,5768.953464087183,4,1,0,1,0,0.37492316578230395,0.6148884037576448,0.4217463181617496,0.7073978912210634,0.7049598978821396,0.901504343934527
6,2,49,1,7267.477363926768,4,1,1,2,0,0.37430325209256937,0.9165428359880706,0.39430555843872955,0.6597646028758779,0.720341419653858,0.8672357299389506
7,2,857,2,5994.904433663565,5,1,1,2,1,0.2665138402060729,0.5715831258942349,0.3334987862992474,0.8061923525362509,0.7324248443912551,0.9086576147678359
8,0,460,1,8745.038879949843,5,2,0,1,0,0.26480170295013283,0.6266821545319236,0.17438408117021661,0.916560753184917,0.7680539379175378,0.8094020125257168
9,2,825,1,9374.168529886083,0,0,0,2,0,0.3669080263668558,0.7446068197523772,0.27719309587233554,0.9166305963261681,0.7361488953069061,0.8672618339442336
