,epsilon_progress,nfe
0,0,0
1,1,100
2,5,1100
3,7,2100
4,8,3100
5,8,4100
6,8,5100
7,8,6100
8,8,7100
9,8,8100
10,8,9100
11,9,10104
12,9,11116
13,9,12128
14,9,13140
15,9,14152
16,9,15164
17,9,16176
18,9,17188
19,9,18200
20,9,19212
21,9,20224
22,9,21236
23,9,22248
24,9,23260
25,9,24272
