,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intertemporal utility GINI,Intertemporal impact GINI
0,2,973,2,8338.642249085015,1,1,1,1,1,0.27841773641229495,0.9165985884106439,0.22812136771545863,0.916645841516315,0.7399716684416175,0.8248405665780807
1,2,63,1,7072.762002560846,4,1,0,2,0,0.37458335143085425,0.9165147219066421,0.3945890526454364,0.6594894655673221,0.7197217119069922,0.8384309416962629
2,2,43,1,9069.943517924528,5,1,0,1,0,0.2651669431247824,0.9166160211055964,0.17607507970986624,0.5439165494354136,0.766986156182186,0.854254876647678
3,2,216,2,11649.466829989991,0,1,1,1,1,0.3683074965770529,0.8569679220864201,0.28103443385990123,0.8471844649804686,0.731446839517111,0.8262297948795019
4,2,589,1,6755.839899646717,0,1,1,1,0,0.36778798142665997,0.9164340798931047,0.27966017407971644,0.563528736535795,0.7333578335925628,0.8653494168254301
5,2,114,2,12694.782995207765,5,1,0,1,1,0.2655113819675785,0.916613866314698,0.17688861919628968,0.9166589245356745,0.7661345136264415,0.8371840730738727
6,1,121,1,10735.751363722238,0,1,0,1,1,0.36784391740508315,0.916430236777048,0.27961035778599214,0.7275727707962544,0.7332937784225494,0.8093129638714718
7,2,947,2,13648.852096388728,5,1,0,1,0,0.2659444648771107,0.5707437006234757,0.19652818612594003,0.5673807267742972,0.7582902305505655,0.9002301522329502
8,2,802,2,6019.065226402896,5,1,1,1,0,0.26673030315807933,0.5713545712355576,0.22900782770124856,0.6069116732909601,0.7473220694346553,0.9035586852820006
9,1,576,0,11384.559247285622,4,0,0,1,0,0.3743929439312238,0.9165193882718132,0.39381361838017814,0.9166124671906327,0.7205034488088177,0.7530593411332347
10,2,668,0,4260.02151948142,4,1,1,1,1,0.3752987094560844,0.8351856077017916,0.3962825472777739,0.9166064105796552,0.7175331708119537,0.8121878146177426
11,2,802,2,4906.000803762068,4,1,1,1,0,0.3754081229043191,0.6146833298477428,0.40623979321905507,0.6769073563528083,0.7113015645511169,0.8912821161036104
12,2,802,2,5192.511512357516,0,1,0,1,0,0.3679617977418182,0.5666085517135906,0.29686853634365135,0.5818702107253071,0.7257147444430224,0.9020694389712985
