,epsilon_progress,nfe
0,0,0
1,4,100
2,9,1100
3,12,2100
4,14,3100
5,15,4100
6,15,5100
7,16,6100
8,16,7100
9,16,8100
10,16,9100
11,16,10108
12,16,11116
13,17,12124
14,17,13132
15,17,14140
16,17,15148
17,17,16156
18,17,17164
19,17,18172
20,17,19180
21,17,20188
22,17,21196
23,17,22204
24,17,23212
25,17,24220
