,epsilon_progress,nfe
0,0,0
1,21,100
2,38,1100
3,43,2100
4,50,3100
5,51,4100
6,55,5100
7,61,6100
8,63,7100
9,67,8100
10,67,9100
11,69,10154
12,70,11162
13,70,12170
14,71,13178
15,72,14186
16,72,15194
17,72,16202
18,74,17210
19,75,18218
20,75,19226
21,75,20234
22,76,21242
23,76,22250
24,76,23258
25,78,24266
