,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Utility 2055,Utility 2105,Total Aggregated Utility
0,1,802,2,5476.97384907915,3,1,1,1,1,3339.1506382829402,2754.372115001757,2536.2979611819032
1,2,802,2,8030.13565604954,1,1,1,2,0,5458.952714463481,422.2721953142761,3376.571106678305
2,2,802,2,12090.699046336542,4,1,1,1,1,3201.6283380473137,863.1109203148471,2684.066473581482
3,1,739,2,10983.771032570725,4,1,0,1,0,3015.3988184771542,2468.0702257694675,2715.3188625429298
4,1,739,2,11239.445198933801,3,1,0,1,0,3353.3497280296533,2701.8582191390633,2539.310874519501
