,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Utility 2055,Utility 2105,Total Aggregated Utility
0,2,405,2,4725.670275254425,3,1,0,1,0,4396.588513397363,980.6189119776841,3620.443555795869
1,1,690,0,6899.181019296173,3,1,1,1,0,4198.313509580367,5309.988444127073,3747.644431791543
2,1,857,2,5032.793564382984,4,1,0,1,0,3690.283579614145,3737.2233111003998,3867.3650124061555
