,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Total Aggregated Utility
0,1,802,2,7888.880300326951,4,1,1,2,1,0.1656778519539348,896.8331390502575,4.820799387603762,2126.9674833382687,3774.6568784804285
1,2,927,2,12772.724109549377,1,1,1,1,0,0.0,0.0,53.71597065038928,1267.0526340908361,4905.557446561579
2,1,850,2,6228.814944634908,3,1,0,1,1,1.0661582234780465,468.34721663128005,0.2614614282830021,1480.4925875438719,3710.60230532964
3,2,802,2,7056.490897120284,1,1,1,1,0,0.0,0.0,53.682118656824045,1267.0526340908361,4897.687578796272
4,2,927,2,12523.019458737805,1,1,0,1,0,0.0,0.0,53.73824666015583,1267.0526340908361,4916.612561143393
5,1,739,2,4763.751789568706,4,1,1,0,1,0.8746645657596943,448.41656952512875,0.8098548505897338,676.8800301167952,3776.832106005304
6,1,936,0,6982.34595020714,3,1,1,1,1,1.0632090637991654,468.34721663128005,0.25426555040884247,1480.4925875438719,3682.6449531299772
7,1,802,2,7740.039715525231,1,1,1,2,1,0.6809497571194838,336.4130577544048,53.55453675093585,923.0288117910679,4837.715845679258
8,1,927,2,5033.734600205633,1,1,0,2,0,0.7538681978600164,336.4130577544048,53.91168515440632,1016.3639102991358,4853.833296391134
9,1,927,2,11716.090171441901,1,1,1,2,0,0.7621934530024086,336.4130577544048,53.89246980312394,1016.3639102991358,4843.272688179552
10,2,927,2,10875.852560693886,5,1,0,1,0,0.0,0.0,53.91658190659766,1602.5060950336638,6219.818644641659
11,2,927,2,11474.848860092565,3,1,0,1,1,0.918202516770289,468.34721663128005,0.6511296585911546,1480.4925875438719,3770.3172411853648
12,2,724,2,9300.969063240183,1,1,0,2,0,0.0,0.0,53.92554236471038,1016.3639102991358,4898.251156238332
13,2,75,2,5678.436554802033,1,1,0,2,0,0.0,0.0,53.89366433419311,1145.161332300514,4891.041312783624
14,1,75,2,5000.625890289898,3,1,0,0,0,0.9213276730037836,468.34721663128005,0.32126689846273915,1480.4925875438719,3643.6204846119326
15,1,436,0,11607.218620077656,4,1,1,1,1,1.025539681758081,448.41656952512875,0.9341379897709772,676.8800301167952,3843.6958664783906
16,1,309,2,8517.952774157768,2,1,1,2,1,0.9473130753722871,392.11377720333263,3.0033121301118326,622.5058907699087,4892.407071512582
17,2,927,2,12507.219158066066,5,1,1,1,0,0.0,0.0,53.89582486251423,1731.41765640107,6208.66095817159
18,2,927,2,11110.717702871907,4,1,1,1,0,0.8758452052964507,448.41656952512875,0.7947423375002645,2009.847171736596,3908.2079060886895
19,2,927,2,13227.499553485695,2,1,1,1,0,0.09139211449908302,392.11377720333263,53.48051064290945,1784.313778861636,4946.255099099355
20,0,309,0,12847.923287704927,4,1,1,2,1,1.2188781310759127,448.41656952512875,1.4421148179446874,676.8800301167952,3849.237198332367
21,2,927,2,9843.533858223396,1,1,0,2,0,0.0,0.0,46.76976120827184,1893.1310535965195,4916.612561143393
22,1,182,0,5483.597650670824,2,1,0,2,0,0.7957406061919745,392.11377720333263,3.738486947243067,622.5058907699087,4931.375892689067
23,0,309,2,11203.92427448678,3,1,0,1,0,1.0636090002278074,468.34721663128005,0.3763225813321731,1480.4925875438719,3717.0512339824154
24,0,53,0,11620.084088115776,3,1,0,2,1,1.2217581719995445,468.34721663128005,0.2846976682339484,1480.4925875438719,3720.355849953287
25,1,182,0,5431.923184831705,5,1,0,2,0,0.157220152896825,330.1048035303076,54.24437956621064,423.2546512212221,6189.428087598584
26,2,257,2,8739.528496548712,4,1,0,1,0,0.8913901439602396,448.41656952512875,3.651264877224815,2126.9674833382687,3976.631859292988
27,0,75,0,8760.747100965325,3,1,1,1,1,1.0405048096859255,468.34721663128005,0.29508730026426133,1480.4925875438719,3679.067552866782
28,1,927,2,10154.854964291604,0,1,0,2,0,0.6289116273707746,322.2881872211466,53.777469497511504,1282.415941718475,4966.7569510008525
29,2,927,2,4231.586776948804,2,1,0,2,1,0.16570114814695125,392.11377720333263,53.33484066618676,706.5010831151488,4933.190204952925
30,2,927,2,13073.91093046307,1,1,1,2,0,0.0,0.0,46.75037383108324,1893.1310535965195,4905.557446561579
31,1,927,2,11658.377767296904,3,1,0,1,1,0.10187027601781606,936.6944332625601,0.7784273283577472,1480.4925875438719,3700.672849023578
