,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Utility 2055,Utility 2105,Total Aggregated Utility
0,2,927,2,8625.342629715933,1,1,1,1,0,3573.091398224486,167.7570890357615,1408.7156566782862
1,1,990,1,6130.067676108527,3,1,1,1,0,2246.2966286192245,1473.915806721047,893.9960486589316
2,2,927,2,9673.637376999584,5,1,0,1,0,3947.559140965099,-773.7205547350691,1907.0789420144497
3,2,927,2,7935.079114741319,4,1,0,1,1,2109.9049378797918,400.9953389638781,998.0463008644272
4,2,927,2,9468.411546693726,2,1,0,1,0,3382.936062297281,286.1733862958022,1396.421634652233
5,1,257,2,8993.224516552187,4,1,0,1,1,1970.5655311891642,1033.6846577760923,997.99278696452
