,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Total Aggregated Utility
0,1,297,1,12015.474998692158,3,1,1,2,1,1.2443623675892193,468.34721663128005,0.24008931397627542,1480.4925875438719,3690.9739472538145
1,1,415,2,11140.75917179783,3,1,0,1,1,0.07267396260235892,936.6944332625601,0.5734940889331654,1480.4925875438719,3646.6173919934813
2,1,415,2,9350.37123083466,2,1,1,2,1,0.9641096668350262,392.11377720333263,3.3514252077215723,622.5058907699087,4888.762745450285
3,1,136,0,12895.000166589209,4,1,0,2,0,0.0661936379464989,896.8331390502575,2.724239560203219,1099.1150496390376,3862.254862603143
4,1,415,2,4331.349351849385,4,1,1,2,1,0.12128443613698936,896.8331390502575,0.5249913984388584,1775.9950797558326,3797.2790418527634
5,1,154,0,11882.856589797568,4,1,0,2,0,1.1643846462328924,448.41656952512875,1.1578664305717123,676.8800301167952,3893.197533445795
6,1,415,0,11112.746516978443,3,1,1,1,1,1.0791967365778583,468.34721663128005,0.2693328771779966,1480.4925875438719,3675.4052593532915
7,1,823,2,5282.275767424069,4,1,1,0,1,0.8669577249028146,448.41656952512875,0.7685779562932971,676.8800301167952,3790.7120453173384
8,1,927,2,6262.640505326762,1,1,1,2,1,0.651409972916313,336.4130577544048,53.55608142875003,923.0288117910679,4837.5400696564975
9,1,415,2,8430.003754903613,3,1,0,0,1,0.91558907689769,468.34721663128005,0.2564415041504,1480.4925875438719,3646.6173919934813
10,1,927,2,9302.92429662723,1,1,0,2,0,0.7566322187233778,336.4130577544048,53.90784568713894,1016.3639102991358,4851.657168384985
11,1,821,0,10605.410318676539,3,1,1,0,1,0.9034675371992056,468.34721663128005,0.21236884701727554,1480.4925875438719,3644.506593066705
12,1,415,2,4730.634751241055,3,1,0,1,0,0.08418884998639897,936.6944332625601,0.7839579359513764,1480.4925875438719,3647.7657894620424
13,1,927,2,7055.748113891714,1,1,1,2,0,0.7649895498940913,336.4130577544048,53.88860855286664,1016.3639102991358,4841.088036752718
14,1,821,0,5203.024772033746,3,1,1,2,1,0.08666267061542743,936.6944332625601,0.5173866681836163,1480.4925875438719,3644.506593066705
15,1,821,0,4955.234909868813,4,1,1,2,1,0.07817301673576638,896.8331390502575,2.552513249726683,1099.1150496390376,3819.3877021960748
16,1,415,2,9123.221565303875,3,1,0,0,0,0.9190396071912874,468.34721663128005,0.3077221134067387,1480.4925875438719,3647.7657894620424
17,1,415,2,9455.392459925728,2,1,0,2,0,1.047862418588623,392.11377720333263,53.34295930148523,1296.1421384987152,4908.630179283636
18,1,367,2,11154.43058067817,4,1,1,0,0,0.8718771397890785,448.41656952512875,0.834397109879814,676.8800301167952,3797.8825556915112
19,1,415,2,4823.903455570501,4,1,1,2,0,0.13529394030359088,896.8331390502575,1.9771642247377268,2126.9674833382687,3810.498573925504
20,1,270,1,10193.543591578975,3,1,0,1,1,1.0758117172770156,468.34721663128005,0.2704183884746618,1480.4925875438719,3704.9892830925924
21,1,415,2,10198.840457019443,2,1,1,2,0,1.055122167917682,392.11377720333263,53.32349568899135,1296.1421384987152,4896.031564936476
22,1,463,2,13454.32380809119,1,1,0,2,0,0.6544086867320056,336.4130577544048,53.927742349310414,1016.3639102991358,4858.408528529865
23,1,415,2,10683.215228014673,5,1,0,2,0,0.36943627036072557,330.1048035303076,54.564014238721555,1042.7390427182402,6170.742298987475
24,1,927,2,5786.644738648748,2,1,0,1,0,0.44484245000693967,392.11377720333263,1.997299789917435,488.1716403629208,4887.017411542603
25,1,257,2,11286.179158475554,1,1,0,2,0,0.8926737124484869,336.4130577544048,53.88195486220552,1145.161332300514,4843.088454433279
26,1,939,2,12310.97509916261,4,1,1,2,1,1.1987123198994187,448.41656952512875,1.0663410375596967,676.8800301167952,3853.203627045149
27,1,309,2,6443.026256205562,4,1,1,1,1,0.06300113517972594,896.8331390502575,1.6627993331577593,676.8800301167952,3798.5847581724774
28,1,389,0,10711.518412692907,3,1,1,1,0,1.0703336116880178,468.34721663128005,0.312688824562388,1480.4925875438719,3705.440998209656
29,1,257,2,12320.68948483668,1,1,1,1,0,0.006376418030517694,336.4130577544048,3.156729626344538,344.0238222997682,4832.372433186021
30,1,367,2,13634.498134716277,1,1,0,2,0,0.6272248296342031,336.4130577544048,53.93308373683199,1016.3639102991358,4860.249343032761
31,0,489,1,6788.06948531703,4,0,0,2,1,1.1512339454174532,448.41656952512875,1.226691869769378,676.8800301167952,3891.289977503199
32,0,131,1,8591.88171600711,3,0,0,2,1,1.26344884892781,468.34721663128005,0.31754607267301616,1480.4925875438719,3731.9920603826695
33,1,367,2,13648.457915227307,5,1,0,2,0,0.4886617962248314,330.1048035303076,54.541340808765035,1042.7390427182402,6162.049599265915
34,1,821,0,11184.16227370722,3,1,1,2,0,0.10002920980019692,936.6944332625601,0.7134671636165777,2111.7652963734226,3662.598791280609
35,1,927,2,9726.116377695302,3,1,0,0,0,0.931530649585983,468.34721663128005,0.3722785693274733,1480.4925875438719,3787.94886326292
36,1,965,0,8901.038244633868,3,1,1,2,0,1.223115872692358,468.34721663128005,0.27820730367665125,1480.4925875438719,3722.2741023305657
37,1,367,2,10586.952889923403,3,1,1,0,0,0.9263106098336806,468.34721663128005,0.33865995414600447,1480.4925875438719,3735.5030580269977
38,1,965,0,12212.60973740175,4,1,1,2,0,1.1475684876060197,448.41656952512875,1.1203930301365075,676.8800301167952,3880.921957775303
39,1,367,2,11241.028748031302,1,1,1,2,0,0.6340399166836075,336.4130577544048,53.91427614710576,1016.3639102991358,4849.823887604117
40,1,989,0,11963.05538126737,4,1,1,1,1,1.0237617905411962,448.41656952512875,0.9289941402154147,676.8800301167952,3841.3850639444886
