,epsilon_progress,nfe
0,0,0
1,20,100
2,39,1100
3,53,2100
4,59,3100
5,61,4100
6,63,5100
7,67,6100
8,68,7100
9,72,8100
10,74,9100
11,75,10100
12,75,11100
13,75,12100
14,76,13100
15,76,14100
16,78,15100
17,79,16100
18,80,17100
19,81,18100
20,81,19100
21,82,20100
22,82,21100
23,82,22100
24,82,23100
25,84,24100
26,85,25100
27,85,26100
28,85,27100
29,85,28100
30,86,29100
31,86,30100
32,86,31100
33,86,32100
34,86,33100
35,86,34100
36,87,35100
37,88,36100
38,89,37100
39,89,38100
40,89,39100
41,89,40100
42,89,41100
43,89,42100
44,89,43100
45,89,44100
46,89,45100
47,89,46100
48,90,47100
49,90,48100
50,90,49100
