,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intertemporal utility GINI,Intertemporal impact GINI
0,2,939,2,4014.0487026252263,4,2,1,2,1,0.3755022108534373,0.9164919943048601,0.394415763166074,0.6609179865325431,0.6956001538983377,0.8560252045299538
1,0,852,1,6972.930193993078,0,0,0,1,1,0.37321138456285297,0.6132800013780049,0.2857625621199926,0.9163464585170762,0.7389102872991515,0.8300786676898205
2,2,943,2,12611.188932995185,0,1,1,1,1,0.37284046612705307,0.37284046612705307,0.2855475944687939,0.8483362419080511,0.7389241693529465,0.8861866211301163
3,2,551,1,11430.077128926763,1,2,0,1,0,0.27878833440113926,0.5921484505911656,0.22607724178021799,0.9166251190082094,0.7194322897118458,0.8505142435756112
4,2,302,1,8381.766352457695,2,0,0,1,0,0.30671271246407306,0.4961662212577375,0.256026633622238,0.8467636751603362,0.7099426417501398,0.8629451486379844
5,2,440,2,7416.445781652712,4,1,0,2,0,0.3754834660140027,0.6360655891010946,0.3943798988285398,0.9165082066309848,0.6956640018580835,0.8595354412670342
6,2,936,1,10498.396718911217,4,0,1,1,1,0.37550173348643984,0.7298022428046103,0.39436956380659877,0.9165043473260308,0.6956403056407741,0.8461038993486764
7,0,121,1,10400.20233183135,2,2,1,1,1,0.3068368012249774,0.6544560976013294,0.2559550259360216,0.6958411629509625,0.7098229016180392,0.77675819045904
8,2,719,2,10991.451205828267,2,1,0,0,1,0.30722964291144733,0.6000850827177321,0.28065044661241073,0.636574807698525,0.7001146250418446,0.9106365653060711
9,2,927,2,6766.0047352538295,0,1,0,1,1,0.3736482501809764,0.5687843490373222,0.41181025361612533,0.7514883951698478,0.711696699892171,0.913925258928742
10,2,15,2,4390.465877146446,0,1,1,2,0,0.37285182667598227,0.9164306209021521,0.2876242527067801,0.5666452720335144,0.7378944898923177,0.9202773531633496
11,2,739,2,6171.074176453525,4,1,0,1,0,0.3763771933422615,0.6168926846303614,0.4360475298172233,0.7553665669717505,0.6817634808117973,0.9034292791855684
12,2,370,1,9797.947510399614,2,1,1,2,0,0.30679544069773396,0.8347380009749561,0.25664570146492366,0.606022640460882,0.70959382346825,0.8965591187164191
