,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intertemporal utility GINI,Intertemporal impact GINI
0,2,186,0,8825.023062481618,4,1,1,1,0,0.37559295202115095,0.9164733709436147,0.3947914539144342,0.6612658425271426,0.6945862027749249,0.8798579276287188
1,2,730,0,11320.456791661529,4,1,1,2,1,0.3755876708273934,0.6095708532939739,0.39456691396580307,0.9165379939211004,0.6947518648423624,0.8537514752926054
2,2,518,1,6080.7920425073635,0,2,0,1,0,0.37283641823029884,0.46123978617621286,0.2853688635969098,0.9166326179575164,0.7388160376808784,0.8803283608949313
3,2,702,2,12648.707850485238,0,0,1,2,0,0.3729281042283799,0.9164202558836004,0.28667829478022794,0.5656304249978531,0.7380796085609742,0.9123827342873096
4,0,519,1,5093.138073931266,0,1,1,0,1,0.37342941441725064,0.6146582590935727,0.28624864463740995,0.9162383749134038,0.738343960151541,0.8301588495612003
5,2,190,1,13024.43421512474,5,1,1,0,1,0.268363334577682,0.5735806980058968,0.3512246525702475,0.7774907763871486,0.7124073946149243,0.9087332308382722
6,2,596,1,11280.14876325073,1,0,0,1,0,0.2788605578526053,0.5382769827830306,0.2261683381190884,0.9166234526764334,0.7186629255823139,0.8613973420122017
7,2,927,2,7029.475661948496,2,1,0,1,0,0.3082204004343529,0.6012845251868569,0.3808078334380129,0.7733294548015903,0.6921550423399832,0.9062764099916741
8,2,94,2,13269.864411571047,0,1,1,2,0,0.3735985666296251,0.5685546038706719,0.3913579222820752,0.7254097442479617,0.7134517897587861,0.917617685613596
9,2,37,1,6247.069864337223,2,1,0,0,0,0.30718883313537415,0.6000435196443294,0.27553677635421847,0.6297537454062697,0.7011098573943688,0.910708843106966
10,2,190,1,8069.333882198348,4,1,0,2,0,0.37623980524518325,0.6166666139764083,0.4244590894336461,0.7201336595567132,0.6823331392445208,0.9040228083495001
11,2,448,2,11632.70184816413,2,1,1,2,0,0.3068653415938427,0.9165228715158545,0.2569513719071721,0.6063478694787819,0.7087021939249857,0.8978545489712229
12,0,756,0,8695.607176213975,2,2,1,0,0,0.3068777499877365,0.6549810570093023,0.256067722164076,0.6803778756227676,0.7090511717962503,0.7820511307344619
13,2,172,0,8320.774486630653,4,2,0,1,1,0.3755026411028136,0.6854436980595048,0.3943210851498596,0.8350188099148236,0.6949503973164415,0.8282491703795689
