,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Total Aggregated Utility
0,0,633,0,13537.94621502815,3,0,1,2,1,1.2676873873603909,468.34721663128005,0.315857437603865,1480.4925875438719,3702.965375872665
1,0,913,0,6793.511488587926,4,1,0,2,0,1.191798698559146,448.41656952512875,1.451262307716169,676.8800301167952,3878.9016698947676
2,1,739,2,7917.2510435010045,4,1,1,2,1,0.1641099268827746,896.8331390502575,3.5978964815945345,2126.9674833382687,3764.345302669927
3,1,927,2,6476.505396641732,3,1,0,2,0,0.19387964816518344,936.6944332625601,52.988881544256074,2764.237838557969,3775.9087494070036
4,1,309,2,7933.286976986409,3,1,0,0,0,0.920474319225798,468.34721663128005,0.3056703504209235,1480.4925875438719,3638.3330360189225
5,1,739,2,7762.954789129865,1,1,1,2,1,0.6688049122331488,336.4130577544048,53.54222083286542,923.0288117910679,4829.896421425269
6,1,309,0,7278.474149371293,3,1,1,0,1,0.9030074677797433,468.34721663128005,0.20660066375855957,1480.4925875438719,3638.2757614342263
7,1,257,2,9862.460826256705,4,1,0,0,0,0.8842487390572178,448.41656952512875,0.9108798566085077,676.8800301167952,3778.0774487279436
8,1,927,2,10138.16721036866,4,1,1,0,1,0.8769986472287687,448.41656952512875,0.8118292909792455,676.8800301167952,3765.264568415284
9,1,927,2,7516.9865098918735,4,1,1,2,0,0.17854694316241737,896.8331390502575,19.40008048539164,2126.9674833382687,3775.47876301554
10,1,927,2,8202.147702709042,2,1,1,2,0,1.355334565092236,392.11377720333263,53.61646529827883,1387.9000465208019,4865.752280932537
11,1,927,2,7001.606805851911,5,1,1,2,0,0.6336289807208636,330.1048035303076,54.491129241978925,1171.6506040856464,6136.076886103259
12,1,546,2,9569.125616929086,5,1,0,2,0,0.3687692276539555,330.1048035303076,54.555298228188434,1042.7390427182402,6164.348859840087
13,1,927,2,6405.062640800598,5,1,0,2,0,0.6253025745890542,330.1048035303076,54.507472447107,1171.6506040856464,6146.315986966471
14,1,927,2,12730.23959751362,2,1,0,2,0,1.3447496926531302,392.11377720333263,53.636969103151515,1387.9000465208019,4878.754685459927
15,1,739,2,6673.402517601617,1,1,0,2,0,0.776355156174529,336.4130577544048,53.89340207523842,1016.3639102991358,4843.949825652425
16,1,927,2,4561.819443946363,2,1,1,2,1,1.2317653065476348,392.11377720333263,53.283163709767294,1296.1421384987152,4861.823809009205
17,1,309,0,4026.4119106796225,3,1,1,2,1,0.0790277676243969,936.6944332625601,0.48414966940765347,1480.4925875438719,3638.2757614342263
18,1,927,2,7444.9118041723905,4,1,1,0,0,0.8798019788696232,448.41656952512875,0.8751153167000381,676.8800301167952,3775.47876301554
19,1,678,2,11022.874775953313,1,1,0,2,0,0.6168027310496316,336.4130577544048,53.92431278317643,1016.3639102991358,4854.476196749769
