,epsilon_progress,nfe
0,0,0
1,17,100
2,28,1100
3,36,2100
4,43,3100
5,48,4100
6,55,5100
7,56,6100
8,59,7100
9,59,8100
10,62,9100
11,64,10100
12,65,11100
13,67,12100
14,68,13100
15,70,14100
16,71,15100
17,72,16100
18,74,17100
19,74,18100
20,75,19100
21,76,20100
22,77,21100
23,77,22100
24,77,23100
25,77,24100
26,77,25100
27,80,26100
28,81,27100
29,82,28100
30,90,29100
31,91,30112
32,93,31162
33,97,32212
34,98,33262
35,98,34312
36,99,35362
37,100,36412
38,104,37462
39,105,38512
40,105,39562
41,107,40612
42,107,41662
43,107,42712
44,107,43762
45,107,44812
46,107,45862
47,107,46912
48,109,47962
49,110,49012
