,epsilon_progress,nfe
0,0,0
1,9,100
2,24,1100
3,43,2100
4,57,3100
5,62,4100
6,67,5100
7,75,6100
8,79,7100
9,81,8100
10,83,9100
11,85,10100
12,88,11100
13,90,12100
14,91,13100
15,95,14100
16,98,15100
17,100,16100
18,100,17100
19,100,18100
20,103,19100
21,105,20100
22,105,21100
23,106,22100
24,106,23100
25,107,24100
26,108,25100
27,108,26100
28,108,27100
29,109,28100
30,109,29100
31,110,30102
32,113,31190
33,115,32278
34,117,33366
35,119,34454
36,120,35542
37,121,36630
38,122,37718
39,124,38806
40,126,39894
41,126,40982
42,126,42070
43,126,43158
44,126,44246
45,128,45334
46,129,46422
47,130,47510
48,130,48598
49,130,49686
