,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Lowest income per capita 2055,Highest climate impact per capita 2055,Lowest income per capita 2105,Highest climate impact per capita 2105
0,2,739,2,7787.167307188352,1,1,1,2,0,2.1833024276045374,0.1053063990463321,0.01,1009.7475395201585
1,1,724,2,5355.3008540696765,3,0,1,1,0,0.7348401052066347,0.21811824091346185,0.7812148951140592,0.5119628861696726
2,1,578,0,10822.289266731957,4,1,1,2,1,0.7411676439337629,0.3149335782153075,1.300790523551557,0.2717582706192046
3,2,739,2,6054.779662433466,2,1,1,2,0,1.5257017629340297,0.09856053479419115,0.01,474.6270486338552
4,1,739,2,13396.890658792425,1,1,0,2,1,1.3612524640256582,0.7977886970647522,2.556336476017238,1.5698285149865219
5,1,739,2,6611.4504769959785,2,1,1,2,1,0.9359224515702432,0.7916086382315574,1.6023554898297343,1.588147640827808
6,1,546,2,12850.516999288791,1,1,1,2,0,1.4244544216303543,0.7199842091035945,1.0039797803795043,5.630804407486595
7,1,739,2,6702.73027795727,4,1,1,1,1,0.7755511356647716,0.2673637190122407,1.115477930458188,0.5131443238928414
8,1,724,2,6111.743151085901,4,1,1,1,0,0.8032884560755162,0.24149516214478972,1.0669276255172628,0.6148134947905333
