,epsilon_progress,nfe
0,0,0
1,11,100
2,29,1100
3,52,2100
4,67,3100
5,74,4100
6,78,5100
7,82,6100
8,83,7100
9,87,8100
10,92,9100
11,97,10136
12,103,11228
13,105,12320
14,106,13412
15,109,14504
16,110,15596
17,110,16688
18,111,17780
19,111,18872
20,111,19964
21,112,21056
22,112,22148
23,112,23240
24,112,24332
25,113,25424
26,113,26516
27,113,27608
28,113,28700
29,114,29792
30,114,30884
31,114,31976
32,114,33068
33,114,34160
34,114,35252
35,115,36344
36,115,37436
37,116,38528
38,117,39620
39,117,40712
40,117,41804
41,117,42896
42,117,43988
43,117,45080
44,118,46172
45,119,47264
46,119,48356
47,121,49448
