,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Lowest income per capita 2055,Highest climate impact per capita 2055,Lowest income per capita 2105,Highest climate impact per capita 2105
0,1,857,2,6851.401581997619,1,1,1,2,0,1.4101497199511406,0.8445239286448021,0.01,755.9769194819376
1,1,857,2,6675.071596467722,4,1,1,2,0,0.6127464285088356,0.7279041678496605,0.1951895704072124,8.8364231068528
2,1,857,2,5633.002217495282,2,1,1,2,0,0.9967704710563446,0.8121640646597609,0.05506689971036938,85.12055639279583
