,epsilon_progress,nfe
0,0,0
1,13,100
2,28,1100
3,46,2100
4,51,3100
5,57,4100
6,61,5100
7,64,6100
8,67,7100
9,67,8100
10,70,9100
11,73,10100
12,75,11100
13,75,12100
14,77,13100
15,77,14100
16,79,15100
17,82,16100
18,82,17100
19,82,18100
20,86,19100
21,94,20112
22,97,21162
23,100,22212
24,100,23262
25,100,24312
26,101,25362
27,102,26412
28,102,27462
29,102,28512
30,102,29562
31,102,30612
32,102,31662
33,105,32712
34,105,33762
35,105,34812
36,106,35862
37,106,36912
38,107,37962
39,108,39012
40,110,40062
41,111,41112
42,114,42162
43,114,43212
44,114,44262
45,115,45312
46,115,46362
47,116,47412
48,118,48462
49,119,49512
