,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Utility 2055,Utility 2105,Total Aggregated Utility
0,2,678,2,11689.721377448224,5,1,1,1,0,5302.808960470686,-506.16892670128533,3465.8135168927074
1,1,857,2,12569.297759453899,3,1,1,1,0,2928.0077444712297,2051.8975835706096,1929.1975320236186
2,2,857,2,4898.086856100822,2,1,0,1,0,4532.153372975146,1346.8033459148112,2685.4550853872615
3,2,857,2,9744.882943887784,1,1,1,1,0,4792.088216733437,1213.0042347419114,2688.560017033831
4,1,857,2,9101.574248854735,4,1,0,1,0,2639.3953616824547,1902.6978802943477,2095.0898188599
