,epsilon_progress,nfe
0,0,0
1,27,100
2,60,1100
3,89,2100
4,107,3100
5,120,4100
6,139,5100
7,149,6100
8,161,7100
9,169,8100
10,173,9100
11,197,10346
12,212,11732
13,227,13118
14,245,14504
15,258,15890
16,278,17276
17,290,18662
18,298,20048
19,306,21434
20,309,22820
21,312,24206
22,318,25592
23,322,26978
24,330,28364
25,342,29750
26,348,31136
27,352,32522
28,360,33908
29,374,35294
30,377,36680
31,379,38066
32,382,39452
33,385,40838
34,387,42224
35,388,43610
36,389,44996
37,390,46382
38,391,47768
39,391,49154
