,epsilon_progress,nfe
0,0,0
1,18,100
2,56,1100
3,76,2100
4,95,3100
5,108,4100
6,121,5100
7,128,6100
8,134,7100
9,142,8100
10,145,9100
11,153,10214
12,164,11358
13,174,12502
14,183,13646
15,191,14790
16,199,15934
17,201,17078
18,202,18222
19,204,19366
20,208,20510
21,210,21654
22,211,22798
23,215,23942
24,216,25086
25,219,26230
26,222,27374
27,224,28518
28,227,29662
29,227,30806
30,228,31950
31,230,33094
32,232,34238
33,233,35382
34,233,36526
35,235,37670
36,235,38814
37,245,40156
38,255,41620
39,261,43084
40,269,44548
41,276,46012
42,288,47476
43,291,48940
