,epsilon_progress,nfe
0,0,0
1,17,100
2,52,1100
3,72,2100
4,86,3100
5,94,4100
6,102,5100
7,110,6100
8,118,7100
9,118,8100
10,122,9100
11,130,10148
12,145,11336
13,147,12524
14,152,13712
15,157,14900
16,162,16088
17,167,17276
18,172,18464
19,172,19652
20,174,20840
21,175,22028
22,178,23216
23,182,24404
24,182,25592
25,183,26780
26,184,27968
27,186,29156
28,192,30222
29,203,31320
30,211,32418
31,214,33516
32,215,34614
33,216,35712
34,217,36810
35,221,37908
36,223,39006
37,224,40104
38,226,41202
39,226,42300
40,226,43398
41,226,44496
42,229,45594
43,230,46692
44,231,47790
45,231,48888
46,231,49986
