,sr,irstp,miu_period,egalitarian_discounting,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intratemporal utility GINI 2155,Intratemporal impact GINI 2155,Intratemporal utility GINI 2205,Intratemporal impact GINI 2205,Intratemporal utility GINI 2305,Intratemporal impact GINI 2305,Intertemporal utility GINI,Intertemporal impact GINI
0,0.46971422574929583,0.013704861809761668,29,0,0.3739206253751414,0.5588859658469603,0.28823800375697556,0.5585863298991106,0.23164926046447207,0.5574869347630368,0.201568630607214,0.5708750787094619,0.18420148184242702,0.6205172116867247,0.351677103201512,0.5769284249299161
1,0.4591697391114938,0.0021567423130574213,30,1,0.37378277780859337,0.5588190539743271,0.28810678889973734,0.5584245127613667,0.2316523558009883,0.557177140004911,0.20161817049048503,0.5700912008935219,0.18463101846416752,0.6185352638894523,0.3518833911680401,0.5788403828439077
2,0.3952557026246319,0.012196730672951695,30,1,0.37293103517651127,0.5586475893367867,0.28724571430935675,0.5586546311929316,0.2314200335374876,0.5576716157204383,0.20114660244112303,0.5703933850416151,0.18321020276571698,0.6182448164233538,0.3558756519412059,0.5765256493705023
3,0.10000000000000021,0.0012808820477574834,29,0,0.36800485980653425,0.5582222212629221,0.27971879474793215,0.5596576269088561,0.22945843385514633,0.5603225292796269,0.1980679774575577,0.5729420641434776,0.17393169844851666,0.618508341084863,0.33733262234382466,0.5413568584326045
4,0.10000000000000005,0.009334165890825833,23,0,0.36801351009710664,0.558491206968471,0.27969047428378635,0.5611955791547958,0.22921110820035137,0.562552965755146,0.1973914825160978,0.5787367498208277,0.17137750227055787,0.6310965609170373,0.3400256886416033,0.5215672425676221
5,0.4056654817475732,0.010040200617171141,29,0,0.37307355589217434,0.5587091788744699,0.2873858608917064,0.5588057129446392,0.23142208638341502,0.5579739216571443,0.20110625677854765,0.5711696386609425,0.18283112717912234,0.6202419148934546,0.3559533049151953,0.5746705815603071
6,0.1,0.01287495929290657,20,0,0.36802116380394095,0.5586878315083755,0.27967331538265877,0.5623652482675806,0.22907888346034477,0.5650300892860698,0.1969576894394889,0.584716918479178,0.16976228847904998,0.6356274147221496,0.3415472220599597,0.5088065223803171
7,0.10000000000000003,0.00540807040522392,26,0,0.3680084211074372,0.5583408785318318,0.27970563271737564,0.5603274695616104,0.22931392962191763,0.5607886803052002,0.19771793274383337,0.5747385830214881,0.17266397216177012,0.6245874365348512,0.33863481581487126,0.5323463049896181
8,0.44790673353262667,0.001106915262417822,30,0,0.37363550677215224,0.5587867491751216,0.2879596008872651,0.5584605496945736,0.23161320164598478,0.5572607669334827,0.20153727460026394,0.5701402194033413,0.18438901459737614,0.6184834460262825,0.35272539808353176,0.5784714957075814
9,0.474389345820586,0.008598932495497374,27,1,0.37398319994499984,0.5589798599700191,0.2882864809898831,0.5590091340325628,0.23157754099416133,0.5583386414595941,0.20132106602257813,0.5727975946019305,0.18282113542350614,0.6251524026095305,0.3527221936899829,0.5716511113233733
